"Date","volume","leafmass","leafmass_SE"
2013-01-21,10,0.749694409937889,0.0242809742096086
2013-01-21,1000,0.749694409937889,0.0242809742096086
2013-01-21,15,0.749694409937889,0.0242809742096086
2013-01-21,20,0.749694409937889,0.0242809742096086
2013-01-21,25,0.749694409937889,0.0242809742096086
2013-01-21,35,0.749694409937889,0.0242809742096086
2013-01-21,5,0.749694409937889,0.0242809742096086
2013-01-29,10,0.715759834368531,0.0327276413669882
2013-01-29,1000,0.781144207923778,0.0210201590889015
2013-01-29,15,0.734892351375333,0.0411189445984691
2013-01-29,20,0.750591864675566,0.0570692383948584
2013-01-29,25,0.681975095652174,0.0357076339214332
2013-01-29,35,0.626352263868066,0.027267834354571
2013-01-29,5,0.749694409937889,0.0509596404070052
2013-02-03,10,1.2716149068323,0.0985558778309869
2013-02-03,1000,0.972742808900682,0.0511231735585617
2013-02-03,15,1.23804819875776,0.0681391683351239
2013-02-03,20,1.37711341879212,0.10067485055655
2013-02-03,25,1.34019323229814,0.109132843228416
2013-02-03,35,1.07342256157636,0.0839861159343768
2013-02-03,5,1.45773913043478,0.14830225174984
2013-02-11,10,2.09920869565218,0.144430190512819
2013-02-11,1000,1.6410504191039,0.101045842710659
2013-02-11,15,1.6028347826087,0.113795539709128
2013-02-11,20,1.75478386679001,0.1203801588925
2013-02-11,25,1.9892607204969,0.180711173922599
2013-02-11,35,1.8908915570786,0.129184527781187
2013-02-11,5,1.79093664596273,0.177249183331131
2013-02-18,10,2.50780952380953,0.166842940147357
2013-02-18,1000,2.60818085991678,0.184803524312031
2013-02-18,15,1.93426285714286,0.112666226641497
2013-02-18,20,2.00756133738602,0.107980001682853
2013-02-18,25,2.5232384,0.191448993479544
2013-02-18,35,2.6231921182266,0.231815448950719
2013-02-18,5,2.24908322981367,0.202890675959192
2013-02-25,10,2.48720621118012,0.125473968194032
2013-02-25,1000,3.44633727914129,0.244594751043254
2013-02-25,15,2.23371428571429,0.133430989872833
2013-02-25,20,2.13525886084314,0.127542522486872
2013-02-25,25,2.89232139130435,0.213228599171051
2013-02-25,35,2.81353641036625,0.261128365201532
2013-02-25,5,2.33238260869565,0.206357564962896
2013-03-04,10,2.6859701863354,0.13897460436732
2013-03-04,1000,4.55994171139119,0.336883458818335
2013-03-04,15,2.39716173913044,0.161686601790013
2013-03-04,20,2.13748380071363,0.119044817518148
2013-03-04,25,2.9459995826087,0.156011516416609
2013-03-04,35,3.58799696723067,0.271321412546227
2013-03-04,5,2.37403229813665,0.190570404277022
2013-03-11,10,2.7101933747412,0.149547327066642
2013-03-11,1000,6.05084342398842,0.45449623730258
2013-03-11,15,2.56613664596273,0.187303389549686
2013-03-11,20,2.1816638139289,0.122915284234239
2013-03-11,25,3.0472917068323,0.177435027783877
2013-03-11,35,3.99791416577426,0.262705717249992
2013-03-11,5,2.29073291925466,0.150094235217658
2013-03-18,10,2.59993706004141,0.130872500157115
2013-03-18,1000,8.17944053548815,0.773704874092684
2013-03-18,15,2.74063900621118,0.156999161689785
2013-03-18,20,2.14193368045461,0.119062406291589
2013-03-18,25,3.39261773913044,0.248422919009736
2013-03-18,35,4.80912764189334,0.345991609363616
2013-03-18,5,2.37403229813665,0.179640931586627
2013-03-25,10,2.66819254658385,0.151832860788786
2013-03-25,1000,10.4206493758669,0.707865777450703
2013-03-25,15,2.92066881987578,0.215583280252359
2013-03-25,20,2.10211629443637,0.117680843308582
2013-03-25,25,3.45226017391304,0.248832757387547
2013-03-25,35,5.41048574855429,0.41506704702602
2013-03-25,5,2.29073291925466,0.172172000188073
2013-04-02,10,2.60361366459627,0.128938695000292
2013-04-02,1000,13.9670863233432,0.879067007587317
2013-04-02,15,3.06161526175688,0.198809433563967
2013-04-02,20,2.06251703977798,0.117624087853001
2013-04-02,25,3.67129822608696,0.26960634690184
2013-04-02,35,5.87105977725423,0.440539891339102
2013-04-02,5,2.20743354037267,0.151196117475334
2013-04-08,10,2.57699710144928,0.0878055319785998
2013-04-08,1000,16.6904167460652,0.96067551860541
2013-04-08,15,3.0130598757764,0.173440051167259
2013-04-08,20,2.06434934320074,0.123832243273669
2013-04-08,25,3.77563333167702,0.302932255616748
2013-04-08,35,6.28219767830371,0.60748602495884
2013-04-08,5,1.9991850931677,0.174860622797565
2013-04-15,10,2.36716024844721,0.102459655406451
2013-04-15,1000,19.1826614002291,1.10271702902151
2013-04-15,15,2.91160248447205,0.173837595342677
2013-04-15,20,1.98214062111801,0.125224010330448
2013-04-15,25,3.52743926459627,0.325335165246829
2013-04-15,35,6.44601689440994,0.625057231653152
2013-04-15,5,1.66598757763975,0.186459233702088
2013-04-22,10,1.91929233954451,0.0789524457822464
2013-04-22,1000,20.5575391485256,1.20896863358405
2013-04-22,15,2.68262608695652,0.189549954338151
2013-04-22,20,2.15305837980706,0.168611031283183
2013-04-22,25,3.32174692173913,0.332340057455593
2013-04-22,35,6.29724628828443,0.638132965374544
2013-04-22,5,1.49938881987578,0.171878055628085
2013-04-29,10,1.79394616977226,0.0667635069572028
2013-04-29,1000,21.5059449797986,1.23241402128989
2013-04-29,15,2.56182260869565,0.218711690996622
2013-04-29,20,2.15528331967755,0.203391689137333
2013-04-29,25,3.21469058385093,0.322051337577769
2013-04-29,35,6.12144029985008,0.645350906759145
2013-04-29,5,1.3744397515528,0.160152642971374
2013-05-06,10,1.71382360248447,0.0823924479182287
2013-05-06,1000,22.3637889646023,1.18760417838737
2013-05-06,15,2.43272795031056,0.222196073540835
2013-05-06,20,2.15750825954804,0.220269252417896
2013-05-06,25,3.04809182608696,0.299236086166159
2013-05-06,35,6.0830044549154,0.658481605213994
2013-05-06,5,1.24949068322981,0.146069628160213
2013-05-13,10,1.68011594202899,0.0811165349834876
2013-05-13,1000,23.1197836820841,1.16670787212082
2013-05-13,15,2.35910161490683,0.201340136517603
2013-05-13,20,2.15973319941853,0.227674623141552
2013-05-13,25,3.20637026583851,0.318460037941019
2013-05-13,35,6.11325368173056,0.608612680425774
2013-05-13,5,1.16619130434783,0.129174802084932
2013-05-21,10,1.64754285714286,0.0708174945818667
2013-05-21,1000,24.6266230235784,1.23862360989308
2013-05-21,15,2.48287346938775,0.169960568777746
2013-05-21,20,2.28946869300912,0.281846671404185
2013-05-21,25,3.206592,0.306984551382946
2013-05-21,35,6.15972413793103,0.649068325613426
2013-05-21,5,1.45773913043478,0.180236046808568
